date,channel,country,os,impressions,clicks,installs,spend,revenue
2017-05-17,adcolony,US,android,19887,494,76,148.2,149.04
2017-05-17,adcolony,US,ios,13886,336,60,100.8,210.24
2017-05-17,apple_search_ads,DE,ios,3180,118,25,50.0,20.0
2017-05-17,apple_search_ads,GB,ios,6683,226,43,86.0,149.27
2017-05-17,apple_search_ads,US,ios,22426,729,139,278.0,418.64
2017-05-17,chartboost,CA,ios,3277,103,25,50.0,30.0
2017-05-17,chartboost,DE,android,3240,25,2,10.0,0.0
2017-05-17,chartboost,DE,ios,3363,109,13,26.0,40.0
2017-05-17,chartboost,FR,ios,6624,204,34,86.0,10.0
2017-05-17,chartboost,GB,android,3210,117,18,36.0,59.6
2017-05-17,chartboost,GB,ios,3231,115,31,62.0,79.6
2017-05-17,chartboost,US,android,6554,216,42,84.0,150.64
2017-05-17,chartboost,US,ios,3268,109,23,46.0,20.0
2017-05-17,facebook,CA,ios,3201,104,19,41.6,10.0
2017-05-17,facebook,DE,android,3350,80,12,32.0,10.0
2017-05-17,facebook,DE,ios,9978,247,51,98.8,119.2
2017-05-17,facebook,FR,ios,3455,91,25,36.4,0.0
2017-05-17,facebook,GB,android,6358,196,20,84.4,20.0
2017-05-17,facebook,US,android,3350,146,32,58.4,129.2
2017-05-17,facebook,US,ios,3349,92,23,36.8,99.44
2017-05-17,google,CA,ios,3429,102,17,33.33,10.0
2017-05-17,google,DE,android,3308,27,2,33.33,10.0
2017-05-17,google,FR,android,6689,209,42,66.66,90.5
2017-05-17,google,GB,android,3306,125,24,33.33,40.0
2017-05-17,google,GB,ios,3443,115,23,33.33,50.0
2017-05-17,google,US,android,6334,180,36,66.66,180.96
2017-05-17,google,US,ios,6843,199,30,66.66,149.92
2017-05-17,unityads,CA,android,3242,80,14,28.0,40.0
2017-05-17,unityads,CA,ios,3454,124,27,54.0,109.2
2017-05-17,unityads,DE,android,3215,112,18,36.0,50.0
2017-05-17,unityads,GB,android,6356,179,36,72.0,30.0
2017-05-17,unityads,GB,ios,3175,95,19,38.0,50.0
2017-05-17,unityads,US,android,6340,234,42,128.0,69.6
2017-05-17,unityads,US,ios,6798,254,46,92.0,129.92
2017-05-17,vungle,GB,android,10388,366,82,164.0,219.2
2017-05-17,vungle,GB,ios,6862,247,50,100.0,20.0
2017-05-17,vungle,US,android,10188,287,54,108.0,201.14
2017-05-17,vungle,US,ios,6818,184,32,64.0,110.32
2017-05-18,adcolony,US,android,13837,299,58,89.7,216.64
2017-05-18,adcolony,US,ios,20427,539,102,161.7,179.6
2017-05-18,apple_search_ads,DE,ios,3185,119,24,48.0,139.2
2017-05-18,apple_search_ads,GB,ios,6710,251,55,110.0,20.0
2017-05-18,apple_search_ads,US,ios,22918,690,136,272.0,439.04
2017-05-18,chartboost,CA,android,3296,111,32,64.0,159.2
2017-05-18,chartboost,DE,android,3297,27,4,20.0,10.0
2017-05-18,chartboost,DE,ios,3443,100,17,34.0,20.0
2017-05-18,chartboost,FR,android,3444,130,22,44.0,30.0
2017-05-18,chartboost,FR,ios,3292,70,11,44.0,20.0
2017-05-18,chartboost,GB,android,3239,123,30,60.0,49.6
2017-05-18,chartboost,GB,ios,3430,127,29,58.0,129.2
2017-05-18,chartboost,US,android,6395,203,34,68.0,50.0
2017-05-18,chartboost,US,ios,3284,98,23,46.0,70.0
2017-05-18,facebook,CA,ios,3439,103,25,41.2,100.32
2017-05-18,facebook,DE,android,10210,305,52,122.0,100.24
2017-05-18,facebook,DE,ios,3369,69,15,43643,0.0
2017-05-18,facebook,FR,ios,3265,98,21,39.2,79.6
2017-05-18,facebook,GB,android,3230,60,4,30.0,0.0
2017-05-18,facebook,GB,ios,3236,131,13,52.4,10.0
2017-05-18,facebook,US,android,3418,112,24,44.8,129.2
2017-05-18,facebook,US,ios,3397,102,19,40.8,0.0
2017-05-18,google,CA,android,3290,106,22,33.33,60.0
2017-05-18,google,DE,ios,3359,45,3,33.33,0.0
2017-05-18,google,FR,android,6948,192,32,66.66,30.0
2017-05-18,google,GB,android,6792,267,66,66.66,209.2
2017-05-18,google,US,android,6663,204,46,66.66,321.6
2017-05-18,google,US,ios,6356,191,46,66.66,158.8
2017-05-18,unityads,CA,ios,6504,220,48,96.0,60.0
2017-05-18,unityads,DE,android,3437,106,22,44.0,10.0
2017-05-18,unityads,GB,android,6570,184,36,72.0,30.0
2017-05-18,unityads,GB,ios,3327,106,23,46.0,59.6
2017-05-18,unityads,US,android,6454,257,38,112.0,119.6
